A2000J01
Sporting,4,14,1,1,2,4,4,4
Extremadura,4,15,1,1,2,3,3,4
Córdoba,4,16,1,1,2,7,8,4
Badajoz,4,17,1,1,2,1,5,4
Elche,4,18,0,3,1,2,3,3
Murcia,4,19,0,3,1,0,2,3
Leganés,4,20,0,3,1,1,4,3
Poli Ejido,4,21,0,1,3,2,6,1
Gimnástic,4,22,0,1,3,1,6,1
A2001J05
Atlético,5,1,4,1,0,11,2,13
Xerez,5,2,4,0,1,6,2,12
Burgos,5,3,4,0,1,5,2,12
Oviedo,5,4,3,2,0,8,3,11
Albacete,5,5,2,2,1,5,2,8
Racing Ferrol,4,6,2,2,0,5,2,8
Salamanca,5,7,2,2,1,10,9,8
Recreativo,5,8,2,2,1,4,3,8
Extremadura,5,9,2,1,2,8,3,7
Sporting,5,10,2,1,2,6,5,7
Jaén,5,11,2,0,3,6,11,6
Numancia,5,12,1,2,2,6,6,5
Levante,5,13,1,2,2,6,8,5
Eibar,5,14,1,2,2,3,5,5
Racing,5,15,1,2,2,2,5,5
Elche,5,16,0,4,1,3,4,4
Córdoba,5,17,1,1,3,8,10,4
Murcia,5,18,0,4,1,3,5,4
Leganés,5,19,0,4,1,2,5,4
Badajoz,5,20,1,1,3,1,7,4
Poli Ejido,5,21,0,2,3,3,7,2
Gimnástic,4,22,0,1,3,1,6,1
A2001J06
Burgos,6,1,5,0,1,8,3,15
Atlético,6,2,4,2,0,11,2,14
Oviedo,6,3,4,2,0,10,3,14
Xerez,6,4,4,0,2,7,5,12
Salamanca,6,5,2,3,1,10,9,9
Extremadura,6,6,2,2,2,8,3,8
Albacete,6,7,2,2,2,5,3,8
Numancia,6,8,2,2,2,7,6,8
Racing Ferrol,5,9,2,2,1,5,4,8
Recreativo,6,10,2,2,2,4,4,8
Sporting,6,11,2,1,3,6,6,7
Elche,6,12,1,4,1,4,4,7
Córdoba,6,13,2,1,3,9,10,7
Murcia,6,14,1,4,1,4,5,7
Leganés,6,15,1,4,1,4,6,7
Jaén,6,16,2,1,3,6,11,7
Levante,6,17,1,3,2,6,8,6
Eibar,6,18,1,3,2,3,5,6
Racing,6,19,1,3,2,2,5,6
Badajoz,6,20,1,1,4,1,8,4
Poli Ejido,6,21,0,3,3,3,7,3
Gimnástic,5,22,0,1,4,2,8,1
A2001J07
Burgos,7,1,5,1,1,8,3,16
Atlético,7,2,4,3,0,12,3,15
Oviedo,7,3,4,3,0,10,3,15
Salamanca,7,4,3,3,1,15,11,12
Xerez,7,5,4,0,3,8,7,12
Albacete,7,6,3,2,2,7,4,11
Racing Ferrol,6,7,3,2,1,7,5,11
Murcia,7,8,2,4,1,7,6,10
Elche,7,9,2,4,1,5,4,10
Córdoba,7,10,3,1,3,10,10,10
Recreativo,7,11,2,3,2,5,5,9
Extremadura,7,12,2,2,3,9,5,8
Numancia,7,13,2,2,3,7,7,8
Leganés,7,14,1,5,1,4,6,8
Jaén,7,15,2,2,3,6,11,8
Sporting,7,16,2,1,4,7,9,7
Eibar,7,17,1,4,2,4,6,7
Racing,7,18,1,4,2,3,6,7
Levante,7,19,1,3,3,6,9,6
Gimnástic,6,20,1,1,4,3,8,4
Badajoz,7,21,1,1,5,1,9,4
Poli Ejido,7,22,0,3,4,5,12,3
A2001J08
Oviedo,8,1,4,4,0,10,3,16
Burgos,8,2,5,1,2,8,4,16
Atlético,8,3,4,3,1,13,5,15
Xerez,8,4,5,0,3,10,7,15
Racing Ferrol,7,5,4,2,1,9,5,14
Salamanca,8,6,3,4,1,18,14,13
Albacete,8,7,3,3,2,7,4,12
Recreativo,8,8,3,3,2,6,5,12
Murcia,8,9,2,5,1,8,7,11
Elche,8,10,2,5,1,6,5,11
Córdoba,8,11,3,2,3,10,10,11
Leganés,8,12,2,5,1,6,6,11
Sporting,8,13,3,1,4,9,10,10
Eibar,8,14,2,4,2,5,6,10
Numancia,8,15,2,3,3,8,8,9
Extremadura,8,16,2,2,4,9,7,8
Jaén,8,17,2,2,4,6,13,8
Levante,8,18,1,4,3,6,9,7
Racing,8,19,1,4,3,3,8,7
Gimnástic,7,20,1,2,4,6,11,5
Badajoz,8,21,1,2,5,2,10,5
Poli Ejido,8,22,0,3,5,5,13,3
A2001J09
Atlético,9,1,5,3,1,14,5,18
Xerez,9,2,6,0,3,11,7,18
Oviedo,9,3,4,5,0,10,3,17
Racing Ferrol,8,4,5,2,1,13,7,17
Burgos,9,5,5,1,3,10,8,16
Recreativo,9,6,4,3,2,8,6,15
Salamanca,9,7,3,5,1,18,14,14
Elche,9,8,3,5,1,7,5,14
Albacete,9,9,3,3,3,7,5,12
Numancia,9,10,3,3,3,10,9,12
Extremadura,9,11,3,2,4,10,7,11
Murcia,9,12,2,5,2,9,9,11
Sporting,9,13,3,2,4,11,12,11
Córdoba,9,14,3,2,4,10,11,11
Eibar,9,15,2,5,2,5,6,11
Leganés,9,16,2,5,2,7,9,11
Racing,9,17,2,4,3,6,9,10
Jaén,9,18,2,3,4,6,13,9
Levante,9,19,1,4,4,6,10,7
Gimnástic,8,20,1,2,5,7,13,5
Badajoz,9,21,1,2,6,2,11,5
Poli Ejido,9,22,0,4,5,7,15,4
A2001J10
Atlético,10,1,6,3,1,16,6,21
